district,crime_type,defendant_race,n_cases,mean_sentence,median_sentence
5,Embezzlement,Black,116,60.07155172413793,57.0
5,Embezzlement,Hispanic,4566,80.85214848883048,60.035
5,Embezzlement,Unknown,32,74.91,60.0
5,Embezzlement,White,253,81.83881422924901,67.3
5,Environmental,Black,2,41.5,41.5
5,Environmental,Hispanic,2,41.5,41.5
5,Environmental,Unknown,1,40.0,40.0
5,Environmental,White,1,37.0,37.0
5,Extortion/Racketeering,Hispanic,1,2.36,2.36
5,Firearms,Black,38,55.514210526315786,46.0
5,Firearms,Hispanic,2253,80.42506879715934,60.0
5,Firearms,Unknown,10,55.903,27.0
5,Firearms,White,110,62.077000000000005,44.0
5,Forgery,Hispanic,1,7.0,7.0
5,Fraud,Black,5,281.6,180.0
5,Fraud,Hispanic,132,135.41810606060605,78.0
5,Fraud,White,4,183.75,169.5
5,Immigration,Black,1,6.0,6.0
5,Immigration,Hispanic,17,18.50764705882353,12.0
5,Immigration,White,1,21.0,21.0
5,Kidnapping,Black,6,18.436666666666667,24.0
5,Kidnapping,Hispanic,336,22.22982142857143,15.0
5,Kidnapping,Unknown,18,4.931666666666667,2.8600000000000003
5,Kidnapping,White,26,20.71,12.03
5,Larceny,Hispanic,11,33.14727272727273,18.0
5,Larceny,White,3,14.020000000000001,12.03
5,Manslaughter,Hispanic,10,14.238999999999999,13.515
5,Manslaughter,White,2,16.5,16.5
5,Money Laundering,Hispanic,15,36.35466666666667,18.0
5,Money Laundering,Unknown,1,12.0,12.0
5,Money Laundering,White,4,49.5,39.0
5,Murder,Hispanic,1,18.0,18.0
5,Obscenity/Other Sex,Black,5,27.206,18.0
5,Obscenity/Other Sex,Hispanic,192,41.74104166666667,37.0
5,Obscenity/Other Sex,Unknown,6,13.466666666666667,12.015
5,Obscenity/Other Sex,White,7,39.47571428571428,40.0
5,Other,Hispanic,26,124.03846153846153,78.0
5,Other,Unknown,1,30.0,30.0
5,Other,White,5,83.8,63.0
5,Robbery,Black,4,216.25,198.5
5,Robbery,Hispanic,144,115.29395833333335,78.0
5,Robbery,Unknown,1,24.0,24.0
5,Robbery,White,8,196.0,180.0
5,Stalking/Harassing,Hispanic,5,147.8,87.0
5,Tax,Black,34,14.94029411764706,12.0
5,Tax,Hispanic,861,16.97981416957027,10.0
5,Tax,Unknown,91,6.6426373626373625,3.26
5,Tax,White,21,11.279523809523809,6.0
5,Unknown,Black,58,44.3498275862069,31.995
5,Unknown,Hispanic,2629,64.84695321414988,57.0
5,Unknown,Unknown,28,7.0675,4.0
5,Unknown,White,96,62.523020833333334,48.0
6,Admin of Justice,White,1,84.0,84.0
6,Assault,Black,7,190.57142857142858,144.0
6,Assault,Hispanic,3,48.0,60.0
6,Assault,Unknown,1,87.0,87.0
6,Assault,White,6,73.66666666666667,53.0
6,Bribery/Corruption,Black,2,118.5,118.5
6,Bribery/Corruption,White,5,20.006,15.0
6,Burglary/Trespass,Black,18,86.54222222222222,70.0
6,Burglary/Trespass,Hispanic,6,46.833333333333336,39.0
6,Burglary/Trespass,Unknown,1,96.0,96.0
6,Burglary/Trespass,White,36,93.36111111111111,74.0
6,Drug Trafficking,Black,1,36.0,36.0
6,Drug Trafficking,Unknown,2,105.0,105.0
6,Drug Trafficking,White,2,120.0,120.0
6,Embezzlement,Black,97,102.40783505154639,77.0
6,Embezzlement,Hispanic,268,71.21182835820896,60.0
6,Embezzlement,Unknown,14,59.25428571428571,30.0
6,Embezzlement,White,70,63.185857142857145,60.0
6,Environmental,Hispanic,3,42.0,48.0
6,Extortion/Racketeering,Black,1,120.0,120.0
6,Extortion/Racketeering,Hispanic,3,62.666666666666664,60.0
6,Firearms,Black,75,75.39479999999999,57.0
6,Firearms,Hispanic,47,71.91702127659575,51.0
6,Firearms,Unknown,22,53.13636363636363,41.5
6,Firearms,White,47,90.61765957446808,60.0
6,Immigration,Black,1,9.49,9.49
6,Immigration,Hispanic,1,36.0,36.0
6,Immigration,White,5,41.577999999999996,21.0
6,Kidnapping,Black,18,42.72388888888889,31.0
6,Kidnapping,Hispanic,21,31.485714285714288,30.0
6,Kidnapping,Unknown,5,17.22,24.0
6,Kidnapping,White,60,39.07666666666667,33.0
6,Larceny,Hispanic,1,48.0,48.0
6,Larceny,Unknown,2,6.029999999999999,6.029999999999999
6,Larceny,White,2,36.0,36.0
6,Manslaughter,Black,2,21.0,21.0
6,Manslaughter,Hispanic,4,13.1275,10.845
6,Manslaughter,Unknown,1,16.0,16.0
6,Manslaughter,White,3,45.333333333333336,37.0
6,Money Laundering,Unknown,1,36.0,36.0
6,Money Laundering,White,3,43.333333333333336,36.0
6,Murder,Unknown,1,18.0,18.0
6,Murder,White,7,27.155714285714286,27.0
6,Obscenity/Other Sex,Black,1,12.26,12.26
6,Obscenity/Other Sex,Hispanic,4,28.5,27.0
6,Obscenity/Other Sex,Unknown,1,30.0,30.0
6,Obscenity/Other Sex,White,6,25.0,19.5
6,Other,Hispanic,1,150.0,150.0
6,Other,White,3,141.33333333333334,120.0
6,Robbery,Black,3,81.0,84.0
6,Robbery,Unknown,4,73.5,49.0
6,Robbery,White,22,58.501363636363635,61.5
6,Tax,Black,5,14.488,5.62
6,Tax,Hispanic,180,16.36422222222222,8.445
6,Tax,White,5,25.639999999999997,18.0
6,Unknown,Black,62,41.93483870967742,36.5
6,Unknown,Hispanic,133,36.81857142857143,24.16
6,Unknown,Unknown,8,84.625,65.0
6,Unknown,White,124,95.44540322580644,36.0
7,Admin of Justice,Black,2,201.0,201.0
7,Admin of Justice,Hispanic,3,108.0,120.0
7,Admin of Justice,White,2,163.5,163.5
7,Arson,Black,2,259.0,259.0
7,Arson,White,1,470.0,470.0
7,Assault,Black,12,124.58333333333333,120.0
7,Assault,Hispanic,3,63.333333333333336,60.0
7,Assault,Unknown,1,168.0,168.0
7,Assault,White,18,103.55555555555556,69.0
7,Bribery/Corruption,Black,3,42.333333333333336,42.0
7,Bribery/Corruption,Hispanic,1,12.03,12.03
7,Bribery/Corruption,Unknown,2,12.05,12.05
7,Bribery/Corruption,White,5,39.0,27.0
7,Burglary/Trespass,Black,21,92.08809523809524,87.0
7,Burglary/Trespass,Hispanic,8,165.625,130.5
7,Burglary/Trespass,Unknown,2,157.5,157.5
7,Burglary/Trespass,White,24,98.66583333333334,71.0
7,Drug Trafficking,Hispanic,1,470.0,470.0
7,Drug Trafficking,White,3,55.0,60.0
7,Embezzlement,Black,648,74.29466049382717,60.0
7,Embezzlement,Hispanic,694,65.8643083573487,60.0
7,Embezzlement,Unknown,14,49.30428571428571,38.5
7,Embezzlement,White,231,55.243290043290045,42.0
7,Environmental,Black,35,31.848285714285716,30.0
7,Environmental,Hispanic,26,23.255384615384614,18.115000000000002
7,Environmental,Unknown,1,4.62,4.62
7,Environmental,White,16,25.595,26.0
7,Extortion/Racketeering,Black,3,14.253333333333336,12.0
7,Extortion/Racketeering,Hispanic,2,6.11,6.11
7,Extortion/Racketeering,White,4,2.7575,2.5
7,Firearms,Black,249,73.45935742971888,60.0
7,Firearms,Hispanic,115,66.29269565217392,51.0
7,Firearms,Unknown,9,82.77777777777777,51.0
7,Firearms,White,70,44.5,35.0
7,Immigration,Black,3,8.343333333333334,12.0
7,Immigration,Hispanic,13,47.00230769230769,30.0
7,Immigration,Unknown,2,0.03,0.03
7,Immigration,White,17,29.70764705882353,24.0
7,Kidnapping,Black,74,45.58256756756757,30.0
7,Kidnapping,Hispanic,45,31.218666666666664,24.0
7,Kidnapping,Unknown,27,33.75777777777778,30.0
7,Kidnapping,White,280,35.96075,30.0
7,Larceny,Black,1,13.0,13.0
7,Larceny,Hispanic,1,12.03,12.03
7,Larceny,Unknown,2,21.0,21.0
7,Larceny,White,5,24.806,18.0
7,Manslaughter,Black,9,16.445555555555554,12.03
7,Manslaughter,Hispanic,8,22.11625,12.03
7,Manslaughter,Unknown,3,14.12,15.0
7,Manslaughter,White,3,15.716666666666667,8.79
7,Money Laundering,Black,1,12.03,12.03
7,Money Laundering,Hispanic,1,24.0,24.0
7,Money Laundering,White,9,23.22222222222222,28.0
7,Murder,Black,5,19.6,16.0
7,Murder,White,41,16.34658536585366,12.03
7,Obscenity/Other Sex,Black,4,39.75,28.5
7,Obscenity/Other Sex,Hispanic,12,20.335833333333333,17.0
7,Obscenity/Other Sex,Unknown,2,16.0,16.0
7,Obscenity/Other Sex,White,20,19.7505,17.0
7,Other,Black,5,142.606,33.0
7,Other,Hispanic,5,187.006,96.0
7,Other,Unknown,1,24.0,24.0
7,Other,White,46,54.22,46.0
7,Robbery,Black,19,85.05263157894737,66.0
7,Robbery,Hispanic,13,127.09769230769231,60.0
7,Robbery,Unknown,2,253.0,253.0
7,Robbery,White,43,44.78418604651163,30.0
7,Sexual Abuse,Unknown,1,18.0,18.0
7,Sexual Abuse,White,12,10.835833333333333,10.0
7,Stalking/Harassing,Hispanic,2,3.0,3.0
