winner,loser
spicycaterpillar,aceontheturn
alexrustemov,aceontheturn
howitzer14,aceontheturn
aceontheturn,howitzer14
aceontheturn,blefer66
blefer66,aceontheturn
alexrustemov,aceontheturn
aceontheturn,pedro_gines
sumopork,aceontheturn
pedro_gines,aceontheturn
shyam,aceontheturn
aceontheturn,igorkovalenko
aceontheturn,shyam
aceontheturn,bancsoo
aceontheturn,jstopa4
blefer66,aceontheturn
aceontheturn,blefer66
pedro_gines,aceontheturn
aceontheturn,pedro_gines
aceontheturn,oskariot
oskariot,aceontheturn
aceontheturn,theredking89
pedro_gines,aceontheturn
gmjoey1,aceontheturn
aceontheturn,gmjoey1
aceontheturn,gmjoey1
spicycaterpillar,aceontheturn
spicycaterpillar,aceontheturn
aceontheturn,jstopa4
gmjoey1,aceontheturn
aceontheturn,oskariot
aceontheturn,oskariot
emperor87,aceontheturn
emperor87,aceontheturn
soloadelante,aceontheturn
aceontheturn,oskariot
sumopork,aceontheturn
soloadelante,aceontheturn
alexrustemov,aceontheturn
aceontheturn,oskariot
aceontheturn,gmsakk
aceontheturn,gmsakk
promen1999,aceontheturn
ckgchess,aceontheturn
aceontheturn,gmyarick
aceontheturn,blefer66
arthurkogan,aceontheturn
aceontheturn,alexrustemov
kuli4ik,aceontheturn
alexrustemov,aceontheturn
jncool68,aceontheturn
aceontheturn,alexrustemov
aceontheturn,alexrustemov
sumopork,aceontheturn
aceontheturn,jncool68
aceontheturn,gmsakk
aceontheturn,jstopa4
aceontheturn,jcibarra
jcibarra,aceontheturn
aceontheturn,gmjoey1
promen1999,aceontheturn
alexrustemov,aceontheturn
jcibarra,aceontheturn
gurelediz,aceontheturn
aceontheturn,jcibarra
gurelediz,aceontheturn
alexrustemov,aceontheturn
aceontheturn,oskariot
gurelediz,aceontheturn
gmjoey1,aceontheturn
aceontheturn,howitzer14
aceontheturn,gmsakk
howitzer14,aceontheturn
aceontheturn,alexrustemov
aceontheturn,gmjoey1
aceontheturn,oskariot
gmjoey1,aceontheturn
alexrustemov,aceontheturn
aceontheturn,jncool68
alexrustemov,aceontheturn
gmjoey1,aceontheturn
gurelediz,aceontheturn
sumopork,aceontheturn
kuli4ik,aceontheturn
gurelediz,aceontheturn
arthurkogan,aceontheturn
sumopork,aceontheturn
soloadelante,aceontheturn
oskariot,aceontheturn
gurelediz,aceontheturn
aceontheturn,pedro_gines
adotand,aceontheturn
pedro_gines,aceontheturn
emperor87,aceontheturn
emperor87,aceontheturn
soloadelante,aceontheturn
gmjoey1,aceontheturn
alexrustemov,aceontheturn
ckgchess,aceontheturn
alexrustemov,aceontheturn
aceontheturn,igorkovalenko
gmjoey1,aceontheturn
aceontheturn,gmjoey1
blefer66,aceontheturn
starworld123,adotand
rpragchess,adotand
gurelediz,adotand
michaelq2d5,adotand
adotand,michaelq2d5
hansen,adotand
daro94,adotand
gurelediz,adotand
adotand,sergoy
adotand,daro94
adotand,gurelediz
adotand,daro94
adotand,sergoy
adotand,starworld123
adotand,gurelediz
hansen,adotand
hansen,adotand
michaelq2d5,adotand
adotand,vi_pranav
gurelediz,adotand
adotand,gurelediz
strength1234,adotand
gurelediz,adotand
adotand,vi_pranav
adotand,strength1234
adotand,gurelediz
hansen,adotand
dogsofwar,adotand
adotand,strength1234
strength1234,adotand
adotand,starworld123
hansen,adotand
adotand,quemirasboboandaparaalla
hansen,adotand
adotand,michaelq2d5
adotand,gurelediz
tigrangharamian,adotand
adotand,hansen
michaelq2d5,adotand
vinniethepooh,adotand
hansen,adotand
adotand,michaelq2d5
gurelediz,adotand
vinniethepooh,adotand
hansen,adotand
adotand,scrapnel
adotand,bancsoo
michaelq2d5,adotand
adotand,vinniethepooh
adotand,michaelq2d5
adotand,michaelq2d5
tigrangharamian,adotand
quizden37,adotand
hansen,adotand
adotand,tigrangharamian
adotand,michaelq2d5
adotand,vinniethepooh
starworld123,adotand
adotand,hansen
adotand,sergoy
michaelq2d5,adotand
adotand,rpragchess
adotand,starworld123
adotand,vi_pranav
adotand,frederiksvane
adotand,vi_pranav
vi_pranav,adotand
frederiksvane,adotand
michaelq2d5,adotand
gurelediz,adotand
adotand,michaelq2d5
adotand,xamax2000
sokidze,adotand
xamax2000,adotand
adotand,sergoy
adotand,wonderfultime
adotand,starworld123
adotand,wonderfultime
abykhovsky,adotand
adotand,xamax2000
adotand,tigrangharamian
vinniethepooh,adotand
adotand,michaelq2d5
quemirasboboandaparaalla,adotand
adotand,xamax2000
hansen,adotand
adotand,crescentmoon2411
adotand,hansen
hansen,adotand
adotand,hansen
adotand,vinniethepooh
hansen,adotand
vinniethepooh,adotand
adotand,hansen
adotand,vinniethepooh
hansen,adotand
adotand,vinniethepooh
adotand,abykhovsky
adotand,abykhovsky
adotand,crescentmoon2411
abykhovsky,adotand
hansen,adotand
hansen,adotand
adotand,xiaotong2008
hansen,adotand
xiaotong2008,adotand
hansen,adotand
adotand,xiaotong2008
hansen,adotand
adotand,xiaotong2008
hansen,adotand
xiaotong2008,adotand
adotand,hansen
adotand,sergiochess83
hansen,adotand
adotand,crescentmoon2411
gurelediz,adotand
adotand,xiaotong2008
abykhovsky,adotand
sergiochess83,adotand
adotand,mitrabhaa
shimastream,adotand
mitrabhaa,adotand
mitrabhaa,adotand
adotand,mitrabhaa
adotand,mitrabhaa
mitrabhaa,adotand
adotand,lilleper1
mitrabhaa,adotand
adotand,mitrabhaa
adotand,xamax2000
adotand,xamax2000
erwinlami,adotand
mitrabhaa,adotand
adotand,abykhovsky
mitrabhaa,adotand
adotand,superchess02
vinniethepooh,adotand
adotand,wonderfultime
quemirasboboandaparaalla,adotand
adotand,nihalsarin
adotand,nihalsarin
nihalsarin,adotand
nihalsarin,adotand
adotand,lilleper1
nihalsarin,adotand
adotand,wonderfultime
shimastream,adotand
mitrabhaa,adotand
adotand,michaelq2d5
hansen,adotand
hansen,adotand
adotand,xamax2000
xamax2000,adotand
xamax2000,adotand
abykhovsky,adotand
adotand,abykhovsky
adotand,abykhovsky
abykhovsky,adotand
adotand,nihalsarin
adotand,nihalsarin
nihalsarin,adotand
nihalsarin,adotand
nihalsarin,adotand
adotand,nihalsarin
adotand,vinniethepooh
xamax2000,adotand
nihalsarin,adotand
adotand,xamax2000
adotand,bancsoo
rpragchess,adotand
adotand,rpragchess
rpragchess,adotand
adotand,xamax2000
adotand,vinniethepooh
adotand,igorkovalenko
wonderfultime,adotand
adotand,nihalsarin
nihalsarin,adotand
adotand,wonderfultime
nihalsarin,adotand
nihalsarin,adotand
alexrustemov,adotand
adotand,nihalsarin
adotand,xamax2000
adotand,xiaotong2008
vinniethepooh,adotand
alexrustemov,adotand
adotand,wonderfultime
wonderfultime,adotand
adotand,hansen
adotand,vinniethepooh
hansen,adotand
vinniethepooh,adotand
hansen,adotand
adotand,vinniethepooh
hansen,adotand
adotand,vinniethepooh
adotand,kuli4ik
hansen,adotand
adotand,kuli4ik
hansen,adotand
adotand,chito89
wonderfultime,adotand
adotand,nihalsarin
wonderfultime,adotand
adotand,wonderfultime
alexrustemov,adotand
adotand,xamax2000
xamax2000,adotand
lonelyqueen0,adotand
adotand,xamax2000
wonderfultime,adotand
adotand,daro94
adotand,wonderfultime
wonderfultime,adotand
adotand,wonderfultime
adotand,wonderfultime
adotand,vinniethepooh
adotand,vinniethepooh
adotand,sergoy
quemirasboboandaparaalla,adotand
adotand,sergoy
adotand,vi_pranav
